Name: System Render: 12SpriteSystem, Last: 1.204900 ms, Avg: 1.219385 ms, Calls: 14
Name: System Render: 20AnimatedSpriteSystem, Last: 0.055400 ms, Avg: 0.048557 ms, Calls: 14
Name: System Render: 15CollisionSystem, Last: 1.035200 ms, Avg: 1.072157 ms, Calls: 14
Name: System Update: 18PlayerAttackSystem, Last: 0.006900 ms, Avg: 0.006160 ms, Calls: 15
Name: System Update: 12WeaponSystem, Last: 0.266400 ms, Avg: 0.255440 ms, Calls: 15
Name: System Update: 15CollisionSystem, Last: 169.561300 ms, Avg: 180.631513 ms, Calls: 15
Name: System Render: 18PlayerAttackSystem, Last: 0.001400 ms, Avg: 0.000850 ms, Calls: 14
Name: System Update: 20AnimatedSpriteSystem, Last: 0.005200 ms, Avg: 0.004113 ms, Calls: 15
Name: System Update: 12BulletSystem, Last: 0.006300 ms, Avg: 0.004293 ms, Calls: 15
Name: System Update: 16PlayerMoveSystem, Last: 0.003000 ms, Avg: 0.002373 ms, Calls: 15
Name: System Start: 12SpriteSystem, Last: 0.011600 ms, Avg: 0.011600 ms, Calls: 1
